sigma,sign,type,m,src,isValidation,id,answer,error,unsignedError,index
0.1,1,quad,0.8,data/Exp1/quad/scatter/S0.1m0.8.png,,1,0.92,-0.12,0.12,58
0.15,-1,trig,0.4,data/Exp1/trig/scatter/S0.15m-0.4.png,,1,-0.56,0.16,0.16,59
0.1,-1,quad,0.4,data/Exp1/quad/scatter/S0.1m-0.4.png,,1,-0.48,0.08,0.08,60
0.1,-1,trig,0.8,data/Exp1/trig/scatter/S0.1m-0.8.png,,1,-0.82,0.02,0.02,61
0.05,1,line,0.2,data/Exp1/line/scatter/S0.05m0.2.png,,1,0.25,-0.05,0.05,62
0.2,-1,quad,0.4,data/Exp1/quad/scatter/S0.2m-0.4.png,,1,-0.43,0.03,0.03,63
0.05,1,quad,0.1,data/Exp1/quad/scatter/S0.05m0.1.png,,1,0.12,-0.02,0.02,64
0.05,1,trig,0.1,data/Exp1/trig/scatter/S0.05m0.1.png,,1,0.18,-0.08,0.08,65
0.2,1,line,0.8,data/Exp1/line/scatter/S0.2m0.8.png,,1,1,-0.2,0.2,66
0.15,-1,line,0.2,data/Exp1/line/scatter/S0.15m-0.2.png,,1,-0.05,-0.15,0.15,67
0.15,1,quad,0.1,data/Exp1/quad/scatter/S0.15m0.1.png,,1,0.05,0.05,0.05,68
0.2,1,line,0.1,data/Exp1/line/scatter/S0.2m0.1.png,,1,0,0.1,0.1,69
0.2,1,line,0.4,data/Exp1/line/scatter/S0.2m0.4.png,,1,0.78,-0.38,0.38,70
0.15,-1,quad,0.1,data/Exp1/quad/scatter/S0.15m-0.1.png,,1,-0.12,0.02,0.02,71
0.2,-1,trig,0.1,data/Exp1/trig/scatter/S0.2m-0.1.png,,1,0.07,-0.17,0.17,72
0.15,1,quad,0.4,data/Exp1/quad/scatter/S0.15m0.4.png,,1,0.54,-0.14,0.14,73
0.15,-1,quad,0.4,data/Exp1/quad/scatter/S0.15m-0.4.png,,1,-0.54,0.14,0.14,74
0.15,-1,quad,0.8,data/Exp1/quad/scatter/S0.15m-0.8.png,,1,-1,0.2,0.2,75
0.2,-1,trig,0.2,data/Exp1/trig/scatter/S0.2m-0.2.png,,1,-0.51,0.31,0.31,76
0.05,-1,quad,0.2,data/Exp1/quad/scatter/S0.05m-0.2.png,,1,-0.28,0.08,0.08,77
0.05,-1,line,0.4,data/Exp1/line/scatter/S0.05m-0.4.png,,1,-0.46,0.06,0.06,78
0.1,1,line,0.2,data/Exp1/line/scatter/S0.1m0.2.png,,1,0.28,-0.08,0.08,79
0.1,-1,line,0.1,data/Exp1/line/scatter/S0.1m-0.1.png,,1,0.05,-0.15,0.15,80
0.05,1,line,0.8,data/Exp1/line/scatter/S0.05m0.8.png,,1,0.8,0,0,81
0.1,-1,trig,0.1,data/Exp1/trig/scatter/S0.1m-0.1.png,,1,-0.07,-0.03,0.03,83
0.2,1,quad,0.1,data/Exp1/quad/scatter/S0.2m0.1.png,,1,0.53,-0.43,0.43,84
0.05,1,line,0.4,data/Exp1/line/scatter/S0.05m0.4.png,,1,0.48,-0.08,0.08,85
0.2,1,quad,0.4,data/Exp1/quad/scatter/S0.2m0.4.png,,1,0.58,-0.18,0.18,86
0.1,1,trig,0.1,data/Exp1/trig/scatter/S0.1m0.1.png,,1,0.1,0,0,87
0.1,1,quad,0.1,data/Exp1/quad/scatter/S0.1m0.1.png,,1,0.29,-0.19,0.19,88
0.2,-1,line,0.1,data/Exp1/line/scatter/S0.2m-0.1.png,,1,0.26,-0.36,0.36,89
0.2,-1,line,0.4,data/Exp1/line/scatter/S0.2m-0.4.png,,1,-0.43,0.03,0.03,90
0.05,-1,line,0.8,data/Exp1/line/scatter/S0.05m-0.8.png,,1,-0.91,0.11,0.11,91
0.2,1,trig,0.8,data/Exp1/trig/scatter/S0.2m0.8.png,,1,0.89,-0.09,0.09,92
0.15,1,trig,0.1,data/Exp1/trig/scatter/S0.15m0.1.png,,1,0.35,-0.25,0.25,93
0.05,1,trig,0.8,data/Exp1/trig/scatter/S0.05m0.8.png,,1,0.9,-0.1,0.1,94
0.15,1,trig,0.8,data/Exp1/trig/scatter/S0.15m0.8.png,,1,1,-0.2,0.2,95
0.15,1,quad,0.2,data/Exp1/quad/scatter/S0.15m0.2.png,,1,0.28,-0.08,0.08,96
0.2,-1,trig,0.8,data/Exp1/trig/scatter/S0.2m-0.8.png,,1,-1,0.2,0.2,97
0.2,1,quad,0.2,data/Exp1/quad/scatter/S0.2m0.2.png,,1,0.49,-0.29,0.29,98
0.2,1,trig,0.1,data/Exp1/trig/scatter/S0.2m0.1.png,,1,0.71,-0.61,0.61,99
0.05,-1,trig,0.8,data/Exp1/trig/scatter/S0.05m-0.8.png,,2,-0.81,0.01,0.01,0
0.2,-1,trig,0.8,data/Exp1/trig/scatter/S0.2m-0.8.png,,2,-1,0.2,0.2,1
0.15,-1,quad,0.4,data/Exp1/quad/scatter/S0.15m-0.4.png,,2,-0.51,0.11,0.11,2
0.05,-1,quad,0.1,data/Exp1/quad/scatter/S0.05m-0.1.png,,2,-0.13,0.03,0.03,3
0.2,-1,quad,0.4,data/Exp1/quad/scatter/S0.2m-0.4.png,,2,-0.01,-0.39,0.39,4
